bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué acción inversión asistencia o regulación apoyará?",Caso de uso usuario acción plazo y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Competencias,"¿Qué rol corresponde a entidad prestador ATM sector y regulador?",Funciones ámbito coordinación validación y límites,Los roles y límites están validados,,,Pendiente,
Población,"¿Quién necesita el servicio y quién permanece desatendido?",Población hogares usuarios grupos vulnerables dispersión y proyección,La población objetivo tiene definición y fuente,,,Pendiente,
Territorio,"¿Qué ámbito centro poblado sistema cuenca y periodo cubre?",Geografía ubigeo centros poblados sistemas cuenca temporada y horizonte,Las unidades espaciales y temporales son reproducibles,,,Pendiente,
Modalidad,"¿Quién presta administra y supervisa el servicio?",EP pequeña ciudad organización comunal municipalidad ATM y autoridad,El prestador y modalidad están clasificados,,,Pendiente,
Acceso,"¿Qué conexión o solución existe y quién la utiliza realmente?",Conexiones hogares personas solución uso efectivo numerador denominador y brecha,La cobertura puede recalcularse y no se confunde con calidad,,,Pendiente,
Fuente y sistema,"¿De dónde proviene el agua y qué infraestructura la conduce?",Fuente captación tratamiento almacenamiento redes disposición capacidad edad y estado,Los componentes y su condición están inventariados,,,Pendiente,
Calidad,"¿Qué evidencia sustenta inocuidad desinfección y control?",Parámetros puntos fechas métodos unidades laboratorio cloro QA y vigilancia,Los resultados son trazables y comparables,,,Pendiente,
Continuidad y presión,"¿Cuándo y bajo qué condiciones se presta el servicio?",Horas frecuencia zona presión estacionalidad medición y población afectada,La prestación real se mide por zona y periodo,,,Pendiente,
Saneamiento,"¿Cómo se recolectan tratan o disponen excretas y aguas residuales?",Solución cobertura operación tratamiento disposición descargas riesgo y mantenimiento,La cadena y los puntos críticos están identificados,,,Pendiente,
Operación y mantenimiento,"¿Qué fallas rutinas repuestos y capacidades sostienen el sistema?",Activos criticidad fallas mantenimiento personal insumos repuestos costos y tiempos,El plan se vincula con estado y riesgo del activo,,,Pendiente,
Interrupciones y contingencia,"¿Qué evento afecta a quién y cómo se restablece?",Causa ubicación inicio duración conexiones afectadas abastecimiento alterno respuesta y cierre,Los incidentes y acciones están conciliados,,,Pendiente,
Usuarios y reclamos,"¿Qué experiencia barrera o daño reporta la población?",Canales registros encuesta muestra taxonomía ubicación plazo respuesta y satisfacción,La voz del usuario es interpretable y tiene devolución,,,Pendiente,
Sostenibilidad financiera,"¿Ingresos cuota o tarifa permiten operar y reponer?",Estructura de costos facturación cuota cobranza morosidad subsidio reposición y brecha,La sostenibilidad usa costos e ingresos conciliados,,,Pendiente,
Gestión rural,"¿Qué soporte requieren ATM y organizaciones comunales?",Capacidad diagnóstico asistencia frecuencia responsables presupuesto acuerdos y resultados,La asistencia se vincula con mejora verificable,,,Pendiente,
Riesgo hídrico y climático,"¿Qué amenaza compromete fuente sistema o población?",Sequía inundación huaico contaminación falla exposición vulnerabilidad criticidad y continuidad,El escenario conecta amenaza activo población y respuesta,,,Pendiente,
Inversiones,"¿Qué obra rehabilitación o mantenimiento resuelve qué brecha?",Alternativas madurez costo beneficiarios operación mantenimiento riesgo y secuencia,La prioridad muestra resultado sostenibilidad y supuestos,,,Pendiente,
Indicadores y evaluación,"¿Qué resultado cambiará y cómo se sabrá?",Definición fórmula unidad desagregación fuente frecuencia línea base comparación y uso,Cada indicador tiene ficha y diseño de medición,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario cartografía informe cartera tablero protocolos código manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se actualizarán respaldarán y custodiarán los activos?",Código archivos editables documentación capacitación respaldo licencias acceso y salida,La entidad puede operar y recuperar los activos,,,Pendiente,
