bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué reunión asignación o respuesta apoyará el encargo?",Caso de uso usuario acción fecha y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Competencias,"¿Qué corresponde a cada nivel y entidad?",Funciones de municipio región PNP sectores y comités,Las competencias y coordinaciones están validadas,,,Pendiente,
Problema,"¿Qué hecho riesgo o experiencia se busca comprender o reducir?",Definiciones población afectada causas hipótesis y exclusiones,El problema no confunde incidencia victimización o percepción,,,Pendiente,
Territorio y periodo,"¿Qué zonas población horarios y horizonte cubre?",Unidades geográficas áreas operativas población periodos y cortes,Las unidades son comparables y representables,,,Pendiente,
Preguntas,"¿Qué debe describirse explicarse anticiparse o evaluarse?",Preguntas analíticas decisiones y nivel de inferencia,Cada pregunta conduce a una decisión posible,,,Pendiente,
Indicadores,"¿Cómo se calcula cada señal?",Nombre concepto fórmula unidad denominador frecuencia fuente y desagregación,Las fichas permiten reproducir los valores,,,Pendiente,
Incidentes y denuncias,"¿Qué hechos registran las fuentes operativas?",Tipo fecha lugar canal cobertura duplicados y cambios,La cobertura y deduplicación están documentadas,,,Pendiente,
Victimización,"¿Qué hechos experimenta la población denuncie o no?",Población muestra instrumento periodo precisión y ponderación,El diseño y los límites de estimación son explícitos,,,Pendiente,
Percepción y confianza,"¿Qué conceptos subjetivos se medirán?",Definiciones escalas instrumento y comparabilidad,Cada concepto se reporta por separado,,,Pendiente,
Capacidades,"¿Qué personal equipos planes y coordinación existen?",Inventario vigencia cobertura disponibilidad y evidencia de uso,La capacidad declarada se distingue de la operación,,,Pendiente,
Factores de riesgo,"¿Qué condiciones son pertinentes para el problema?",Hipótesis variables fuentes territorio y límites,Cada factor tiene una justificación verificable,,,Pendiente,
Georreferenciación,"¿Qué requiere ubicación área o trayectoria?",Dirección coordenada proyección precisión unidad espacial y agregación,El análisis espacial puede reproducirse sin exponer personas,,,Pendiente,
Calidad,"¿Cómo se tratarán faltantes cambios duplicados y subregistro?",Reglas umbrales perfil de datos conciliación y bitácora,Los problemas de calidad son medidos y visibles,,,Pendiente,
Privacidad y ética,"¿Qué detalle puede exponer personas u operaciones?",Clasificación minimización roles retención registro y anonimización,Los permisos y niveles de publicación están probados,,,Pendiente,
Análisis,"¿Qué comparaciones patrones o modelos son apropiados?",Métodos supuestos código sensibilidad y límites,Los resultados pueden reproducirse e interpretarse,,,Pendiente,
Alertas,"¿Qué señal activa qué respuesta?",Umbral prioridad canal responsable plazo cierre y escalamiento,El flujo se prueba de extremo a extremo,,,Pendiente,
Intervenciones,"¿Qué actividad se vincula con cada problema?",Insumos acciones productos resultados responsables y presupuesto,La cadena de resultados es verificable,,,Pendiente,
Evaluación,"¿Se medirá proceso resultado o impacto?",Diseño línea de base comparación indicadores y riesgos de inferencia,La conclusión no excede el diseño disponible,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario fichas mapas informe dashboard manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se actualizará y custodiará lo entregado?",Código archivos editables documentación capacitación respaldo y salida,La entidad puede operar y recuperar los activos,,,Pendiente,
