bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué política inversión servicio o estrategia apoyará?",Caso de uso usuario acción plazo y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Competencias,"¿Qué corresponde a cada nivel y actor?",Funciones coordinación validación aprobación y escalamiento,Los roles están validados,,,Pendiente,
Territorio,"¿Qué ámbito escala periodo y área funcional son pertinentes?",Distrito provincia región corredor cuenca mercado área de influencia y periodo,La unidad espacial y temporal es reproducible,,,Pendiente,
Estructura productiva,"¿Qué actividades unidades y flujos sostienen la economía?",Valor actividad especialización estacionalidad encadenamientos y cambios,La línea de base distingue fuentes y límites,,,Pendiente,
Empresas,"¿Qué stock altas bajas tamaños y ramas se observarán?",Unidad empresarial condición registral actividad tamaño localización y periodo,Los indicadores empresariales son comparables,,,Pendiente,
Empleo,"¿Qué ocupación demanda ingreso y formalidad se medirán?",Población vínculo laboral ocupación sector ingreso jornada formalidad y periodo,Los indicadores laborales definen población y fuente,,,Pendiente,
Poblaciones,"¿Qué grupos enfrentan barreras diferenciadas?",Sexo edad ruralidad discapacidad pertenencia indígena migración y otras condiciones,Los criterios de inclusión y acceso son visibles,,,Pendiente,
Sectores y cadenas,"¿Qué actores procesos y relaciones producen valor?",Insumos producción transformación logística comercialización servicios y gobernanza,El mapa de cadena está contrastado con actores,,,Pendiente,
Demanda y mercados,"¿Quién compra cuánto cuándo y bajo qué condiciones?",Cliente volumen frecuencia calidad precio canal sustitutos y requisitos,La hipótesis comercial está validada o marcada pendiente,,,Pendiente,
Licencias y formalización,"¿Qué fricción administrativa se observa?",Trámite tiempo costo rechazo operación continuidad y obligaciones,El trámite está separado de operación y resultado económico,,,Pendiente,
Infraestructura y servicios,"¿Qué activos y servicios condicionan la actividad?",Vías mercados conectividad energía agua frío logística suelo y asistencia,Capacidad uso costo y continuidad están documentados,,,Pendiente,
Barreras,"¿Qué costo información capacidad o coordinación limita el resultado?",Problema mecanismo evidencia población afectada y control posible,La barrera tiene evidencia y responsable potencial,,,Pendiente,
Actores y gobernanza,"¿Quién decide implementa compra regula y coordina?",Entidad empresa gremio organización trabajador proveedor y acuerdo,El mapa de actores identifica roles e incentivos,,,Pendiente,
Investigación primaria,"¿Qué vacío requiere encuesta entrevista o campo?",Hipótesis población selección instrumento supervisión ética y análisis,El levantamiento puede cambiar una decisión definida,,,Pendiente,
Análisis geoespacial,"¿Qué patrón depende de distancia acceso o concentración?",Capas resolución geocodificación accesibilidad áreas funcionales y método,La escala y el método son reproducibles,,,Pendiente,
Indicadores,"¿Qué insumo actividad producto y resultado se seguirán?",Nombre definición fórmula unidad desagregación fuente frecuencia responsable y meta,Cada indicador tiene ficha completa,,,Pendiente,
Escenarios y prioridad,"¿Cómo se compararán alternativas y supuestos?",Criterios pesos restricciones escenarios sensibilidad incertidumbre y validación,La prioridad puede reproducirse y discutirse,,,Pendiente,
Intervención y evaluación,"¿Qué acción produce qué cambio y cómo se aprenderá?",Teoría de cambio población comparación medición riesgos y uso,La actividad está vinculada con un resultado verificable,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario mapa informe cartera tablero instrumentos código manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se actualizará respaldará y custodiará?",Código archivos editables documentación capacitación respaldo licencias y salida,La entidad puede operar y recuperar los activos,,,Pendiente,
