bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué decisión utilizará los resultados y quién la tomará?",,,,,Pendiente,
Preguntas de investigación,"¿Qué debe poder responder el estudio?",,,,,Pendiente,
Población objetivo,"¿Cuál es la unidad de análisis y quién queda incluido o excluido?",,,,,Pendiente,
Cobertura y dominios,"¿Qué territorio y grupos requieren resultados diferenciados?",,,,,Pendiente,
Marco muestral,"¿Qué fuente permite seleccionar las unidades y cuáles son sus límites?",,,,,Pendiente,
Diseño muestral,"¿Cómo se seleccionará la muestra y con qué supuestos?",,,,,Pendiente,
Precisión,"¿Qué estimaciones requieren precisión y cómo se reportará la incertidumbre?",,,,,Pendiente,
Instrumento,"¿Qué variables preguntas rutas y duración tendrá el cuestionario?",,,,,Pendiente,
Piloto,"¿Cómo se probarán comprensión duración rutas y operación?",,,,,Pendiente,
Trabajo de campo,"¿Qué modo cronograma capacitación y contingencias se aplicarán?",,,,,Pendiente,
Control de calidad,"¿Qué supervisión recontacto validación y auditoría se ejecutarán?",,,,,Pendiente,
Privacidad y consentimiento,"¿Qué datos personales se tratarán y cómo se protegerán?",,,,,Pendiente,
Procesamiento,"¿Cómo se editará codificará ponderará y documentará la base?",,,,,Pendiente,
Plan de análisis,"¿Qué tabulados comparaciones modelos y límites se reportarán?",,,,,Pendiente,
Productos,"¿Qué bases diccionarios fichas informes y archivos editables se entregarán?",,,,,Pendiente,
Conformidad,"¿Qué prueba observable aprobará cada producto?",,,,,Pendiente,
Roles y dependencias,"¿Qué entregan la entidad y el proveedor y en qué fecha?",,,,,Pendiente,
Transferencia y cierre,"¿Qué código documentación capacitación y eliminación de datos se requieren?",,,,,Pendiente,
