bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué regulación servicio inversión o intervención apoyará?",Caso de uso usuario acción plazo y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Gobernanza,"¿Qué competencia y coordinación corresponden a cada actor?",Funciones nivel de gobierno operador fiscalización coordinación y límites,Los roles y límites están validados,,,Pendiente,
Área funcional,"¿Qué ciudad corredor zona y periodo forman el sistema?",Área urbana cuenca de viajes corredores zonas de análisis temporada y horizonte,El ámbito espacial y temporal es reproducible,,,Pendiente,
Población,"¿Quién necesita desplazarse y quién enfrenta barreras?",Población actividades género edad discapacidad ingreso periferia y cuidados,Los grupos y necesidades están delimitados,,,Pendiente,
Demanda y viajes,"¿Quién viaja hacia dónde cuándo por qué y cómo?",Origen destino motivo modo hora frecuencia transbordo muestra expansión y no viajes,La demanda puede estimarse y declara incertidumbre,,,Pendiente,
Oferta,"¿Qué rutas frecuencias flota y capacidad están disponibles?",Rutas paraderos horarios frecuencia flota capacidad ocupación operador y variación,La oferta está georreferenciada y fechada,,,Pendiente,
Red e infraestructura,"¿Qué vías y espacios sostienen cada modo?",Jerarquía sección vereda ciclovía intersección paradero estado barrera y capacidad,La red es continua y apta para la escala,,,Pendiente,
Tiempo y confiabilidad,"¿Cuánto demora el viaje y cuánto varía?",Acceso espera viaje transbordo egreso distribución percentiles zona franja y día,El tiempo puerta a puerta y su variación son visibles,,,Pendiente,
Transporte público,"¿Cómo funcionan integración tarifa ocupación y operación?",Integración física tarifaria operacional recaudo ocupación regularidad costo e informalidad,El desempeño puede compararse por servicio,,,Pendiente,
Movilidad activa,"¿Caminar o pedalear es continuo directo y seguro?",Red calidad cruces iluminación sombra estacionamiento conteos barreras y percepción,La experiencia se observa por recorrido y usuario,,,Pendiente,
Accesibilidad y cuidados,"¿Quién alcanza oportunidades y con qué carga?",Empleo educación salud mercados tiempo costo transbordos horarios y desagregación,El acceso se mide para poblaciones y zonas distintas,,,Pendiente,
Seguridad vial,"¿Dónde y para quién se concentra el riesgo?",Siniestro víctima severidad modo ubicación velocidad exposición vía fecha y fuente,El riesgo concilia evento persona exposición y entorno,,,Pendiente,
Género y violencia,"¿Qué riesgos o restricciones afectan de forma diferenciada?",Acoso temor horario recorrido modo denuncia canal consentimiento y protección,El método evita exposición y permite respuesta,,,Pendiente,
Carga y logística,"¿Cómo circulan bienes sin deteriorar movilidad y entorno?",Generadores rutas horarios vehículos estacionamiento carga descarga regulación y externalidades,La logística se vincula con actividad y territorio,,,Pendiente,
Datos y privacidad,"¿Qué registros pueden integrarse y bajo qué salvaguardas?",Fuente unidad cobertura sesgo anonimización agregación retención licencia y acceso,El uso es lícito representativo y seguro,,,Pendiente,
Escenarios,"¿Qué cambia si se modifica oferta demanda precio o espacio vial?",Escenario base alternativa supuestos elasticidad horizonte modelo incertidumbre y sensibilidad,Los resultados pueden reproducirse y compararse,,,Pendiente,
Priorización,"¿Qué medida produce mayor valor y para quién?",Acceso seguridad tiempo emisiones costo equidad viabilidad riesgo pesos y restricciones,La prioridad muestra criterios y sensibilidad,,,Pendiente,
Piloto y evaluación,"¿Cómo se probará una intervención antes de escalar?",Línea base comparación indicadores periodo implementación fidelidad riesgos y reversibilidad,El efecto puede distinguirse de la ejecución,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario encuesta cartografía modelo informe cartera tablero código manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se actualizarán operarán y respaldarán los activos?",Código archivos editables documentación capacitación respaldo licencias acceso mantenimiento y salida,La entidad puede operar y recuperar los activos,,,Pendiente,
