bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué cambio de servicio operación o inversión apoyará?",Caso de uso usuario acción fecha y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Competencias,"¿Qué corresponde a municipio operador y otras entidades?",Funciones coordinación supervisión y escalamiento,Los roles están validados,,,Pendiente,
Estándar,"¿Qué cobertura frecuencia y calidad se espera?",Nivel de servicio horario tolerancia evidencia y zona,El estándar puede medirse por zona,,,Pendiente,
Usuarios y territorio,"¿Qué población predios vías y puntos cubre?",Universo padrón geografía accesos y exclusiones,El universo y la geografía son reproducibles,,,Pendiente,
Preguntas,"¿Qué debe describirse optimizarse o evaluarse?",Preguntas decisiones hipótesis y nivel de inferencia,Cada pregunta conduce a una decisión posible,,,Pendiente,
Generación,"¿Cuánto residuo se produce y con qué composición?",Método muestra estratos periodo precisión y categorías,La estimación declara cobertura e incertidumbre,,,Pendiente,
Recolección,"¿Cuánto se recoge dónde cuándo y con qué evidencia?",Peso volumen fecha ruta turno zona y comprobante,Los registros se concilian con pesajes y rutas,,,Pendiente,
Rutas y turnos,"¿Cómo operan recorridos tiempos y frecuencias?",Secuencia distancia velocidad paradas horario restricciones y escenarios,La línea base y escenarios pueden reproducirse,,,Pendiente,
Flota y personal,"¿Qué capacidad disponibilidad y restricción existen?",Vehículos capacidad estado mantenimiento turnos dotación y ausencias,La capacidad efectiva está verificada,,,Pendiente,
Puntos críticos,"¿Dónde se acumulan residuos o falla el servicio?",Ubicación tipo recurrencia evidencia causa responsable y cierre,Cada punto tiene regla de atención y cierre,,,Pendiente,
Valorización,"¿Qué flujos se segregan y reaprovechan realmente?",Material cantidad calidad origen operador destino costo e ingreso,El balance y la trazabilidad están acreditados,,,Pendiente,
Disposición final,"¿Dónde termina lo no valorizado?",Cantidad ruta instalación autorización pesaje y condición,El flujo se concilia hasta el destino,,,Pendiente,
Infraestructura,"¿Qué activos existen y qué capacidad efectiva tienen?",Ubicación diseño estado uso mantenimiento y restricción,La operación real se distingue de la capacidad nominal,,,Pendiente,
Costos e ingresos,"¿Cuánto cuesta cada componente y cómo se financia?",Personal combustible mantenimiento contrato disposición arbitrio morosidad y subsidio,El modelo permite recalcular costos y escenarios,,,Pendiente,
Calidad,"¿Cómo se tratan faltantes diferencias y cambios?",Reglas umbrales conciliación perfil y bitácora,Los problemas de calidad son medidos y visibles,,,Pendiente,
Indicadores,"¿Qué mide servicio eficiencia y resultado?",Concepto fórmula unidad denominador frecuencia fuente y meta,Las fichas permiten reproducir los valores,,,Pendiente,
Alertas,"¿Qué desviación activa qué respuesta?",Umbral prioridad canal responsable plazo cierre y escalamiento,El flujo se prueba de extremo a extremo,,,Pendiente,
Evaluación,"¿Qué intervención o contrato se examinará?",Teoría de cambio línea de base comparación indicadores y límites,La conclusión no excede el diseño disponible,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario mapas modelo informe tablero manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se actualizará y custodiará lo entregado?",Código archivos editables documentación capacitación respaldo y salida,La entidad puede operar y recuperar los activos,,,Pendiente,
