bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisiones y rutinas,"¿Qué reunión alerta o acción debe apoyar el sistema?",,,,,Pendiente,
Usuarios,"¿Quién consulta actualiza valida administra y toma decisiones?",,,,,Pendiente,
Alcance,"¿Qué procesos entidades territorios y periodos cubre?",,,,,Pendiente,
Inventario de fuentes,"¿Qué sistemas archivos o servicios entregan datos?",,,,,Pendiente,
Acceso y dependencia,"¿Quién autoriza y entrega cada fuente y con qué frecuencia?",,,,,Pendiente,
Modelo de datos,"¿Cómo se relacionan entidades periodos indicadores y territorios?",,,,,Pendiente,
Indicadores,"¿Cuál es la definición fórmula unidad sentido y desagregación?",,,,,Pendiente,
Calidad de datos,"¿Qué reglas controlan completitud vigencia validez y consistencia?",,,,,Pendiente,
Actualización,"¿Qué proceso actualiza datos y cómo se atienden fallas?",,,,,Pendiente,
Vistas y funciones,"¿Qué consultas filtros mapas alertas y exportaciones se requieren?",,,,,Pendiente,
Flujo de acción,"¿Quién responde ante una desviación y cómo registra el cierre?",,,,,Pendiente,
Roles y permisos,"¿Qué información es pública interna restringida o administrable?",,,,,Pendiente,
Seguridad y privacidad,"¿Qué controles protegen accesos datos respaldos y trazabilidad?",,,,,Pendiente,
Arquitectura e integración,"¿Dónde operará y con qué sistemas debe conectarse?",,,,,Pendiente,
Desempeño y accesibilidad,"¿Qué tiempos disponibilidad dispositivos y estándares debe cumplir?",,,,,Pendiente,
Pruebas de aceptación,"¿Qué datos nuevos usuarios y escenarios verificarán el producto?",,,,,Pendiente,
Transferencia,"¿Qué código repositorio documentación credenciales y capacitación se entregarán?",,,,,Pendiente,
Continuidad y salida,"¿Quién mantiene el sistema y cómo se recuperan datos y activos?",,,,,Pendiente,
