bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué instrumento servicio inversión o proceso utilizará el análisis?",Usuario pregunta acción plazo frecuencia resultado y responsable,La decisión y su uso pueden describirse,,,Pendiente,
Competencias,"¿Qué corresponde a cada nivel área y autoridad?",Municipalidad distrital provincial región sector áreas técnicas validadores roles y límites,Las competencias y coordinaciones están validadas,,,Pendiente,
Ámbito territorial,"¿Qué ciudad centro poblado sector o área funcional está incluida?",Polígono jurisdicción área de influencia periodo escala inclusión exclusión y corte,El ámbito espacial y temporal es reproducible,,,Pendiente,
Referencia cartográfica,"¿Con qué sistema precisión y cartografía base se trabajará?",Datum proyección escala tolerancia resolución control geodésico fuente y fecha,La geometría puede ubicarse y evaluar su precisión,,,Pendiente,
Unidades e identificadores,"¿Cómo se distinguen lote predio unidad manzana vía y contribuyente?",Definiciones códigos llaves relaciones correspondencias duplicados y excepciones,Las unidades no se confunden y pueden vincularse,,,Pendiente,
Levantamiento,"¿Qué debe observarse en campo y con qué método?",Instrumento muestra o barrido equipo evidencia fecha supervisión revisita y control,El levantamiento es verificable y repetible,,,Pendiente,
Catastro multifinalitario,"¿Qué atributos físicos fiscales urbanos y de servicio son necesarios?",Geometría construcción uso ocupación valor servicio riesgo imagen fuente fecha y finalidad,El modelo responde a usos institucionales acordados,,,Pendiente,
Población y vivienda,"¿Quién reside trabaja o utiliza el territorio?",Población hogares vivienda actividad movilidad desagregación fuente unidad y sesgo,Las personas se conectan con unidades pertinentes,,,Pendiente,
Clasificación y zonificación,"¿Qué regla aplica qué uso se observa y dónde discrepan?",Instrumento norma vigencia clasificación zona parámetro uso observado diferencia y validación,La regla y la realidad física están diferenciadas,,,Pendiente,
Crecimiento y ocupación,"¿Cómo cambian huella densidad vacancia y periferias?",Fechas imágenes método cambio densificación expansión informalidad error y causa,Los cambios se estiman con periodos comparables,,,Pendiente,
Servicios e infraestructura,"¿Qué cobertura y capacidad sostienen la ocupación?",Red acceso continuidad capacidad déficit operador inversión mantenimiento fecha y evidencia,El servicio no se infiere solo por proximidad a una red,,,Pendiente,
Accesibilidad y equipamientos,"¿Quién alcanza servicios empleo y espacio público?",Equipamiento capacidad horario ruta tiempo modo barrera población y estándar,La accesibilidad incorpora oferta y población,,,Pendiente,
Riesgo y clima,"¿Qué peligros exposición y vulnerabilidad condicionan el uso?",Escenario peligro exposición vulnerabilidad periodo fuente escala incertidumbre medida y autoridad,El riesgo conserva escenario y limitaciones,,,Pendiente,
Ambiente y patrimonio,"¿Qué ecosistemas calidad paisaje o bienes requieren protección?",Área condición presión restricción autoridad evidencia impacto respuesta y seguimiento,Las salvaguardas están georreferenciadas y trazables,,,Pendiente,
Suelo y finanzas urbanas,"¿Qué valores cargas beneficios o ingresos pueden analizarse?",Valor fuente método periodo base tributaria recaudación instrumento costo beneficio y límite legal,Los valores no se presentan como tasación ni derecho adquirido,,,Pendiente,
Datos e interoperabilidad,"¿Cómo se integrarán registros capas y servicios?",Esquema formato API WMS WFS metadatos linaje calidad actualización acceso y privacidad,El intercambio y las validaciones están probados,,,Pendiente,
Escenarios y priorización,"¿Qué cambia bajo cada alternativa y para quién?",Escenario supuesto indicador criterio peso costo beneficio equidad sensibilidad riesgo y viabilidad,La comparación es reproducible y muestra incertidumbre,,,Pendiente,
Participación y validación,"¿Qué actores deben observar corregir o deliberar?",Actores población vulnerable etapa canal material accesible aporte respuesta devolución y evidencia,La participación y sus respuestas son trazables,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario cartografía ficha informe visor tablero metadatos pruebas formatos y accesibilidad,Cada producto tiene propósito y prueba observable,,,Pendiente,
Transferencia y mantenimiento,"¿Cómo se actualizarán protegerán y recuperarán los activos?",Código editables licencias accesos registro respaldo seguridad capacitación manual mantenimiento y salida,El cliente puede operar proteger y recuperar los activos,,,Pendiente,
