bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué reunión priorización o intervención utilizará el análisis?",Usuario acción frecuencia plazo y responsable,La decisión y su uso pueden describirse,,,Pendiente,
Universo de cartera,"¿Qué inversiones proyectos u obras están incluidas?",Entidad sector fase territorio periodo reglas de inclusión y exclusión,El universo y el corte son reproducibles,,,Pendiente,
Competencias,"¿Qué roles corresponden a cada unidad y nivel?",OPMI UF UEI administración sectores validadores responsables y límites,Los roles y competencias están validados,,,Pendiente,
Ciclo y estado,"¿En qué fase y condición está cada inversión?",Programación formulación ejecución funcionamiento estado fecha fuente y evidencia,Los estados están definidos y sustentados,,,Pendiente,
Territorio y sector,"¿Dónde se ubica y qué servicio atiende?",Ubigeo ámbito sector función corredor área de influencia y relaciones espaciales,La escala territorial y sectorial está conciliada,,,Pendiente,
Brecha y población,"¿Qué problema y población justifican la inversión?",Brecha estándar población beneficiaria denominador cobertura demanda y alternativa,La necesidad se conecta con el servicio esperado,,,Pendiente,
Identificadores,"¿Cómo se relacionan los registros del proyecto?",CUI código de obra contrato expediente unidad ejecutora llaves correspondencias y excepciones,Los registros pueden vincularse y auditarse,,,Pendiente,
Presupuesto,"¿Qué presupuesto y fases financieras se analizarán?",PIA PIM certificación compromiso devengado girado fuente periodo fórmula y modificación,Las fases y cortes están diferenciados,,,Pendiente,
Programación e hitos,"¿Qué fechas y entregables cambian la trayectoria?",Cronograma base reprogramación ruta crítica hito dependencia fecha y evidencia,Los hitos críticos tienen fecha y responsable,,,Pendiente,
Avance físico,"¿Qué componente fue ejecutado y cómo se verificó?",Componente meta unidad programado ejecutado valorización evidencia fecha y responsable,El avance físico tiene unidad y sustento,,,Pendiente,
Avance financiero,"¿Qué gasto corresponde a qué obligación y componente?",Monto fase fecha componente contrato fuente conciliación y diferencia,La ejecución financiera no se equipara al avance físico,,,Pendiente,
Contratación,"¿Qué procedimiento o contrato condiciona la inversión?",Procedimiento contrato proveedor monto plazo modificación penalidad controversia y fuente,La dimensión contractual está conectada con la cartera,,,Pendiente,
Restricciones,"¿Qué condición bloquea o retrasa el proyecto?",Terreno permiso interferencia expediente financiamiento controversia causa impacto acción y responsable,Cada restricción tiene evidencia y tratamiento,,,Pendiente,
Riesgos y escenarios,"¿Qué evento puede alterar costo plazo alcance o beneficio?",Riesgo probabilidad impacto disparador escenario mitigación contingencia y dueño,Los riesgos tienen reglas y respuestas proporcionales,,,Pendiente,
Calidad y consistencia,"¿Qué datos discrepan faltan o están desactualizados?",Regla validación fuente prevalente discrepancia faltante corrección linaje y fecha,La calidad y las excepciones son visibles,,,Pendiente,
Operación y mantenimiento,"¿Quién operará el activo y con qué recursos?",Recepción operador personal equipamiento presupuesto recurrente mantenimiento protocolo y nivel de servicio,La sostenibilidad operativa puede verificarse,,,Pendiente,
Indicadores y alertas,"¿Qué señal activa qué revisión o decisión?",Indicador fórmula umbral frecuencia fuente responsable acción y evidencia de cierre,Cada alerta tiene protocolo probado,,,Pendiente,
Gobernanza,"¿Qué comité reunión o flujo conduce la cartera?",Usuarios roles agenda frecuencia acuerdos escalamiento plazo y evidencia,La rutina de decisión está documentada,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario fichas mapa informe tablero registro de alertas pruebas y formatos,Cada producto tiene propósito y prueba observable,,,Pendiente,
Transferencia y seguridad,"¿Cómo se operarán protegerán y recuperarán los activos?",Código archivos editables documentación accesos respaldo auditoría capacitación licencias mantenimiento y salida,La entidad puede operar proteger y recuperar los activos,,,Pendiente,
