bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué intervención asignación o mejora apoyará?",Caso de uso usuario acción plazo y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Competencias,"¿Qué rol corresponde a autoridad red y prestador?",Funciones nivel red IPRESS IAFAS validación coordinación y límites,Los roles y límites están validados,,,Pendiente,
Población,"¿Quién está expuesto necesita o utiliza el servicio?",Persona población asignada territorio etapa de vida vulnerabilidad y denominador,La población y sus desagregaciones están definidas,,,Pendiente,
Problema y riesgo,"¿Qué evento o condición se analizará?",Definición de caso diagnóstico exposición severidad tendencia periodo y fuente,El evento es reproducible y separa registro de condición,,,Pendiente,
Territorio,"¿Qué área red establecimiento y referencia cubre?",Ubigeo ámbito red microrred IPRESS cuenca de atención accesibilidad y periodo,La escala conecta población y servicio,,,Pendiente,
Demanda,"¿Quién requiere atención y quién no llega?",Necesidad solicitud programación espera abandono demanda no atendida y urgencia,La demanda y sus pérdidas pueden medirse,,,Pendiente,
Acceso,"¿Qué afiliación distancia costo o trámite limita la atención?",Seguro acreditación distancia viaje costo idioma discapacidad horario y barrera,Las barreras son observables por población y territorio,,,Pendiente,
Oferta y capacidad,"¿Qué servicio personal equipo e insumo están operativos?",Cartera horario personal cama equipo medicamento stock disponibilidad y contingencia,La capacidad efectiva está fechada y validada,,,Pendiente,
Prestación,"¿Qué atención se brindó cuándo y con qué intensidad?",Evento persona servicio profesional IPRESS fecha diagnóstico procedimiento y frecuencia,La producción concilia eventos y personas,,,Pendiente,
Oportunidad,"¿Cuánto tiempo transcurre entre necesidad y atención?",Inicio solicitud cita atención diagnóstico tratamiento y referencia,Los hitos y tiempos pueden reconstruirse,,,Pendiente,
Continuidad,"¿Cómo se siguen referencia tratamiento y resolución?",Derivación recepción contrarreferencia adherencia seguimiento abandono resolución y cierre,Las transiciones y pérdidas son trazables,,,Pendiente,
Calidad y seguridad,"¿La atención cumplió estándar y evitó daño?",Protocolo proceso resultado evento adverso revisión corrección y aprendizaje,La calidad vincula estándar evidencia y respuesta,,,Pendiente,
Experiencia,"¿Qué barrera trato o resultado reporta el usuario?",Encuesta muestra canal consentimiento satisfacción reclamo respuesta y devolución,La voz del usuario es interpretable y segura,,,Pendiente,
Vigilancia y alertas,"¿Qué cambio exige investigar o responder?",Evento serie línea base umbral señal validación responsable protocolo plazo y cierre,La alerta tiene validación y acción asignada,,,Pendiente,
Datos y privacidad,"¿Qué información es necesaria y quién puede verla?",Finalidad base legal minimización seudonimización acceso cifrado retención auditoría e incidente,El tratamiento es proporcional seguro y trazable,,,Pendiente,
Indicadores,"¿Qué capacidad proceso resultado y equidad se seguirán?",Definición fórmula unidad denominador desagregación fuente frecuencia meta responsable y uso,Cada indicador tiene ficha y decisión asociada,,,Pendiente,
Intervención,"¿Cómo produciría la acción el resultado esperado?",Problema mecanismo actividades productos resultados supuestos riesgos y efectos no deseados,La teoría de cambio puede discutirse y probarse,,,Pendiente,
Evaluación,"¿Qué diseño responde la pregunta y con qué comparación?",Pregunta diseño comparación muestra potencia periodo análisis heterogeneidad y límites,La inferencia corresponde al diseño disponible,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario informe mapa sala tablero protocolos código manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se operarán y protegerán los activos?",Código archivos editables documentación capacitación respaldo acceso licencias mantenimiento e incidentes,La entidad puede operar proteger y recuperar los activos,,,Pendiente,
