bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué política asignación mejora o evaluación apoyará?",Caso de uso usuario acción plazo y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Derechos y competencias,"¿Qué obligación y rol corresponden a cada entidad?",Marco derechos funciones articulación validación y límites,Los roles y límites están validados,,,Pendiente,
Población,"¿A quién busca atender la intervención?",Persona hogar comunidad etapa de vida diversidad territorio y criterio,La población tiene definición y fuente reproducibles,,,Pendiente,
Necesidad,"¿Qué privación riesgo o barrera se intenta resolver?",Definición dimensión severidad duración mecanismo fuente y percepción,La necesidad es observable y no se confunde con servicio,,,Pendiente,
Territorio,"¿Dónde vive o se desplaza la población y dónde está el servicio?",Ubigeo centro poblado área funcional accesibilidad dispersión movilidad y periodo,La escala conecta población y oferta,,,Pendiente,
Elegibilidad,"¿Qué criterio determina acceso y cómo se actualiza?",Reglas fuente fecha vigencia excepción revisión reclamo y responsable,La decisión de elegibilidad es trazable y corregible,,,Pendiente,
Demanda no atendida,"¿Quién necesita solicita o espera sin recibir?",Universo elegible solicitud lista espera abandono exclusión duplicidad y motivo,La brecha y sus transiciones pueden medirse,,,Pendiente,
Acceso,"¿Qué información distancia costo o trámite impide llegar?",Canal conocimiento tiempo distancia costo idioma accesibilidad cuidado y documentación,Las barreras se observan por población y territorio,,,Pendiente,
Prestación,"¿Qué recibió cada usuario cuándo y con qué intensidad?",Servicio fecha lugar dosis frecuencia continuidad proveedor y evidencia,La prestación está conciliada y no se confunde con programación,,,Pendiente,
Calidad y experiencia,"¿El servicio fue oportuno pertinente seguro y digno?",Estándar espera trato pertinencia seguridad satisfacción reclamo y respuesta,La calidad combina registro y voz del usuario,,,Pendiente,
Implementación,"¿La intervención se ejecutó como fue diseñada?",Insumos actividades protocolo cobertura fidelidad adaptación capacidad y cuello de botella,La variación de implementación es medible,,,Pendiente,
Articulación,"¿Cómo se deriva y resuelve una necesidad multisectorial?",Detección derivación recepción plazo atención retroalimentación cierre y responsable,La ruta confirma recepción y resultado,,,Pendiente,
Participación,"¿Cómo intervienen población y organizaciones?",Actores método canal consentimiento accesibilidad devolución protección y controversia,La participación es segura y tiene devolución,,,Pendiente,
Datos personales,"¿Qué información es necesaria y quién puede verla?",Finalidad base legal minimización acceso cifrado retención auditoría anonimización y respuesta,El tratamiento es proporcional seguro y trazable,,,Pendiente,
Indicadores,"¿Qué insumo producto resultado y equidad se seguirán?",Nombre definición fórmula unidad desagregación fuente frecuencia meta responsable y uso,Cada indicador tiene ficha y decisión asociada,,,Pendiente,
Teoría de cambio,"¿Cómo produciría la intervención el resultado esperado?",Problema mecanismo actividades productos resultados supuestos riesgos y efectos no deseados,La cadena causal puede discutirse y probarse,,,Pendiente,
Evaluación,"¿Qué diseño responde la pregunta de proceso resultado o impacto?",Pregunta diseño comparación muestra potencia periodo análisis heterogeneidad y límites,La inferencia corresponde al diseño disponible,,,Pendiente,
Costos y eficiencia,"¿Qué recursos producen qué cobertura o resultado?",Costos directos indirectos usuario unidad producto resultado escenario y sensibilidad,Los costos completos tienen denominador comparable,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario informe evaluación mapa tablero protocolos código manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se actualizarán protegerán y custodiarán los activos?",Código archivos editables documentación capacitación respaldo acceso licencias mantenimiento y salida,La entidad puede operar proteger y recuperar los activos,,,Pendiente,
