bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué inversión expansión o diseño debe sustentar el estudio?",Usuario alternativas fecha y uso previsto,La decisión puede describirse y tiene responsable,,,Pendiente,
Objetivo,"¿Qué incertidumbre debe reducir?",Resultado esperado alcance exclusiones y restricciones,El objetivo se vincula con una acción posible,,,Pendiente,
Mercado y población,"¿Quién compra usa decide o influye?",Cliente usuario segmento población y exclusiones,La población relevante está delimitada,,,Pendiente,
Territorio,"¿Qué ciudad zona corredor o área de influencia cubre?",Escala límites unidades y relación funcional,El ámbito puede representarse y reproducirse,,,Pendiente,
Preguntas e hipótesis,"¿Qué debe explicar comparar o validar?",Preguntas supuestos alternativas y señales,Cada pregunta puede cambiar la decisión,,,Pendiente,
Definiciones,"¿Cómo se medirán demanda competencia y oportunidad?",Concepto fórmula unidad periodo y denominador,Las métricas pueden recalcularse,,,Pendiente,
Fuentes públicas,"¿Qué estadísticas registros y cartografía existen?",Entidad conjunto fecha cobertura licencia y calidad,Cada fuente tiene metadatos y límites,,,Pendiente,
Datos propios,"¿Qué información comercial u operativa se usará?",Campos periodo acceso custodia privacidad y calidad,El acceso y tratamiento están autorizados,,,Pendiente,
Investigación primaria,"¿Qué vacíos requieren encuesta entrevista visita u observación?",Propósito instrumento participantes campo ética y supervisión,Cada levantamiento responde a una hipótesis,,,Pendiente,
Muestra,"¿A quién debe representar la medición?",Marco selección tamaño dominios no respuesta y precisión,La representatividad y sus límites están justificados,,,Pendiente,
Datos geográficos,"¿Qué requiere ubicación distancia o superposición?",Capas llaves proyección escala precisión y atribución,Los mapas pueden reproducirse e interpretarse,,,Pendiente,
Segmentación,"¿Qué grupos requieren lecturas o propuestas diferentes?",Variables método estabilidad tamaño y aplicación,Los segmentos son interpretables y accionables,,,Pendiente,
Dimensionamiento,"¿Cómo se estimará mercado o demanda?",Universo filtros tasas supuestos rangos y horizonte,La estimación se reproduce y muestra incertidumbre,,,Pendiente,
Escenarios y comparación,"¿Cómo se evaluarán territorios o alternativas?",Criterios exclusiones pesos escenarios y sensibilidad,La recomendación no depende de un supuesto oculto,,,Pendiente,
Riesgos y diligencias,"¿Qué podría invalidar o cambiar la recomendación?",Evento exposición evidencia confianza y validación pendiente,Cada riesgo conduce a una diligencia o respuesta,,,Pendiente,
Productos,"¿Qué recibe cada usuario?",Base diccionario modelo mapas informe brief y sesión,Formato contenido y propósito están definidos,,,Pendiente,
Conformidad,"¿Cómo se aceptará cada producto?",Pruebas observables rondas plazos y responsables,La revisión no depende de una fórmula ambigua,,,Pendiente,
Transferencia y continuidad,"¿Cómo se actualizarán datos modelos y supuestos?",Archivos editables código bitácora documentación capacitación y salida,La organización puede custodiar y actualizar los activos,,,Pendiente,
