bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué política acción fiscalización o inversión apoyará?",Caso de uso usuario acción plazo y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Competencias,"¿Qué autoridad puede medir prevenir fiscalizar o corregir?",Funciones materia territorio coordinación validación y límites,Los roles y límites están validados,,,Pendiente,
Componente,"¿Se analizará agua aire suelo ruido biodiversidad u otro?",Componente parámetro proceso relación causal y alcance,El componente y su relación con la decisión son explícitos,,,Pendiente,
Territorio,"¿Qué ámbito ecosistema cuenca población y periodo cubre?",Geografía unidades ambientales receptores temporada y horizonte,La unidad espacial y temporal es reproducible,,,Pendiente,
Presión y fuente,"¿Qué actividad o evento genera qué presión?",Origen ubicación responsable intensidad duración frecuencia y evidencia,La fuente y el mecanismo están documentados,,,Pendiente,
Receptor y exposición,"¿Quién o qué puede verse afectado y cómo?",Población ecosistema recurso activo actividad ruta duración y vulnerabilidad,Los receptores y rutas de exposición están identificados,,,Pendiente,
Línea de base,"¿Cuál es la condición inicial comparable?",Periodo puntos parámetros estadísticos fuentes cambios previos y vacíos,La línea base permite medir cambio o declara su límite,,,Pendiente,
Muestreo y monitoreo,"¿Dónde cuándo cómo y con qué frecuencia se medirá?",Diseño puntos réplicas temporada protocolo equipo y frecuencia,El diseño es justificable y replicable,,,Pendiente,
Calidad y custodia,"¿Cómo se asegura integridad desde campo hasta resultado?",QA QC blancos duplicados calibración preservación laboratorio custodia y validación,La calidad y trazabilidad están probadas,,,Pendiente,
Estándares,"¿Qué referencia normativa o técnica permite interpretar?",ECA LMP obligación guía categoría parámetro unidad vigencia y excepción,La comparación usa referencia pertinente y vigente,,,Pendiente,
Datos geoespaciales,"¿Qué escala y precisión requiere la decisión?",Coordenadas sistema referencia resolución capas topología metadatos y licencia,La cartografía es reproducible y apta para la escala,,,Pendiente,
Denuncias e incidentes,"¿Cómo se registran clasifican verifican y cierran?",Canal taxonomía ubicación evidencia competencia plazo estado y cierre,Los casos están conciliados sin duplicados,,,Pendiente,
Instrumentos,"¿Qué política diagnóstico plan o comisión conduce la respuesta?",Vigencia articulación prioridad actividad presupuesto responsable e indicador,El instrumento se vincula con ejecución y resultado,,,Pendiente,
Fiscalización,"¿Qué riesgo u obligación prioriza cada acción?",PLANEFA universo riesgo programación actuación hallazgo medida plazo y cierre,La cadena de fiscalización es trazable,,,Pendiente,
Participación,"¿Cómo intervienen población empresas y organizaciones?",Actores información canal consentimiento devolución protección y controversias,La participación tiene reglas y evidencia de devolución,,,Pendiente,
Indicadores,"¿Qué presión estado respuesta y resultado se seguirán?",Nombre definición fórmula unidad desagregación fuente frecuencia responsable y umbral,Cada indicador tiene ficha completa,,,Pendiente,
Priorización,"¿Qué criterio ordena problemas lugares y respuestas?",Riesgo magnitud población sensibilidad urgencia competencia costo viabilidad y pesos,La prioridad puede reproducirse y someterse a sensibilidad,,,Pendiente,
Intervención y evaluación,"¿Qué acción reduce presión o exposición?",Teoría de cambio población comparación medición permanencia riesgos y uso,La respuesta está vinculada con un resultado verificable,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario cartografía informe cartera tablero protocolos código manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se actualizará respaldará y custodiará?",Código archivos editables documentación capacitación respaldo licencias acceso y salida,La entidad puede operar y recuperar los activos,,,Pendiente,
