bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué intervención asignación o mejora apoyará?",Caso de uso usuario acción plazo y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Competencias,"¿Qué rol corresponde a cada nivel y entidad?",MINEDU DRE GRE UGEL gobierno local institución validación coordinación y límites,Los roles y límites están validados,,,Pendiente,
Población y estudiantes,"¿Quién necesita el servicio y quién aparece en los registros?",Población edad nivel territorio lengua discapacidad condición y denominador,La población y sus desagregaciones están definidas,,,Pendiente,
Territorio,"¿Qué localidad ámbito ruta y servicio cubre?",Ubigeo centro poblado ruralidad distancia tiempo de viaje institución y ámbito,La escala conecta población y servicio,,,Pendiente,
Oferta y acceso,"¿Qué servicios niveles y vacantes existen y quién queda fuera?",Servicio nivel modalidad turno vacante demanda potencial barrera y alternativa,La oferta la demanda y las barreras pueden distinguirse,,,Pendiente,
Matrícula y cobertura,"¿Quién se matriculó y contra qué población se compara?",Estudiante matrícula nivel grado institución periodo población objetivo y denominador,El registro y el denominador están conciliados,,,Pendiente,
Asistencia y participación,"¿Quién participa regularmente y qué interrupciones enfrenta?",Asistencia frecuencia ausencia prolongada participación apoyo alerta y respuesta,La participación se diferencia de la matrícula,,,Pendiente,
Trayectoria,"¿Quién progresa repite transita abandona retorna o concluye?",Estado educativo transición rezago repitencia interrupción retorno conclusión y cohorte,Las transiciones son reproducibles y trazables,,,Pendiente,
Aprendizajes,"¿Qué competencias y progresos se observan y con qué instrumento?",Área competencia grado instrumento escala muestra resultado factor asociado y limitación,La interpretación corresponde al instrumento y diseño,,,Pendiente,
Docentes,"¿Qué dotación perfil permanencia y apoyo requiere el servicio?",Plaza docente función especialidad carga estabilidad formación acompañamiento y brecha,La dotación registrada se contrasta con la operación,,,Pendiente,
Servicio y gestión,"¿Qué horario capacidad organización y soporte operan realmente?",Calendario turno sección capacidad horario gestión soporte incidencia y continuidad,La prestación efectiva está fechada y validada,,,Pendiente,
Infraestructura,"¿Qué local ambiente servicio básico o riesgo limita la prestación?",Local ambiente estado capacidad agua saneamiento energía riesgo accesibilidad mantenimiento e inversión,La condición tiene evidencia y validación técnica,,,Pendiente,
Conectividad y recursos,"¿Qué acceso y uso efectivo tienen estudiantes y docentes?",Internet dispositivo material plataforma disponibilidad funcionamiento uso soporte y reposición,La disponibilidad se separa del funcionamiento y uso,,,Pendiente,
Inclusión e interculturalidad,"¿Qué barreras afectan a poblaciones específicas?",Lengua EIB discapacidad género ruralidad movilidad ajuste razonable pertinencia y brecha,Las desigualdades y respuestas son observables,,,Pendiente,
Bienestar y protección,"¿Qué condición afecta participación convivencia o seguridad?",Bienestar convivencia violencia riesgo protocolo derivación acceso confidencialidad y cierre,La información sensible tiene protocolo y acceso restringido,,,Pendiente,
Datos y privacidad,"¿Qué información es necesaria y quién puede verla?",Finalidad base legal minimización seudonimización acceso cifrado retención auditoría celdas pequeñas e incidente,El tratamiento protege especialmente a menores,,,Pendiente,
Indicadores,"¿Qué acceso proceso aprendizaje trayectoria y equidad se seguirán?",Definición fórmula unidad denominador desagregación fuente frecuencia meta responsable y uso,Cada indicador tiene ficha y decisión asociada,,,Pendiente,
Intervención y evaluación,"¿Cómo produciría el cambio y cómo se comprobará?",Teoría de cambio implementación comparación muestra periodo análisis heterogeneidad riesgos y límites,La inferencia corresponde al diseño disponible,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base diccionario informe mapa tablero protocolos código manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se operarán y protegerán los activos?",Código archivos editables documentación capacitación respaldo acceso licencias mantenimiento e incidentes,La entidad puede operar proteger y recuperar los activos,,,Pendiente,
