bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué medida inversión o protocolo apoyará?",Caso de uso usuario acción fecha y responsable,La decisión puede describirse y tiene responsable,,,Pendiente,
Proceso GRD,"¿A qué proceso de gestión del riesgo corresponde?",Estimación prevención reducción preparación respuesta rehabilitación o reconstrucción,El proceso y el producto son coherentes,,,Pendiente,
Competencias,"¿Qué corresponde a cada entidad y nivel?",Funciones coordinación validación aprobación y escalamiento,Los roles están validados,,,Pendiente,
Peligro,"¿Qué fenómeno y escenario se analizarán?",Tipo intensidad frecuencia duración extensión fuente y vigencia,Los parámetros y límites están documentados,,,Pendiente,
Territorio,"¿Qué escala ámbito y periodo son pertinentes?",Unidad geográfica resolución área funcional periodo y cortes,La unidad es reproducible y justificada,,,Pendiente,
Exposición,"¿Qué personas activos y servicios están expuestos?",Población viviendas medios de vida infraestructura y servicios críticos,El inventario está georreferenciado y fechado,,,Pendiente,
Vulnerabilidad,"¿Qué fragilidad y capacidad modifican el impacto?",Dimensiones variables indicadores fuente y método,Las variables son pertinentes y reproducibles,,,Pendiente,
Poblaciones,"¿Qué grupos requieren protección diferenciada?",Edad discapacidad género lengua ruralidad movilidad y acceso,Los criterios de inclusión son visibles,,,Pendiente,
Escenario,"¿Qué supuestos relacionan peligro y consecuencias?",Hipótesis horizonte intensidad exposición y efectos,El escenario muestra supuestos e incertidumbre,,,Pendiente,
Evaluación,"¿Cómo se estimará y zonificará el riesgo?",Metodología parámetros clasificación validación y límites,El método es compatible con la guía aplicable,,,Pendiente,
Priorización,"¿Qué criterio ordena medidas y territorios?",Riesgo población criticidad urgencia competencia costo viabilidad y pesos,Los resultados resisten análisis de sensibilidad,,,Pendiente,
Medidas,"¿Qué acción reduce qué componente del riesgo?",Medida estructural o no estructural responsable costo plazo y resultado,La cadena causal está definida,,,Pendiente,
Servicios críticos,"¿Qué debe mantener continuidad?",Dependencias umbrales redundancias rutas alternativas y recuperación,Las alternativas pueden probarse,,,Pendiente,
Preparación,"¿Qué recursos rutas y protocolos se requieren?",Personal equipos almacenes comunicaciones rutas turnos y simulacros,La disponibilidad efectiva está verificada,,,Pendiente,
COEL,"¿Qué fuentes turnos y decisiones sostienen la operación?",Roles fuentes tablero situación común bitácora comunicaciones y relevo,El flujo de información se prueba de extremo a extremo,,,Pendiente,
Alertas,"¿Qué señal activa qué respuesta?",Fuente umbral nivel canal responsable plazo cierre y escalamiento,La alerta conduce a una acción verificable,,,Pendiente,
Daños y necesidades,"¿Cómo se registran y validan durante la emergencia?",Formulario unidad geografía evidencia conciliación frecuencia y responsable,El reporte es oportuno y evita duplicados,,,Pendiente,
Datos sensibles,"¿Qué detalle puede exponer población o activos críticos?",Clasificación minimización roles agregación retención y publicación,Los accesos y niveles de detalle están probados,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se acepta?",Base cartografía escenarios informe cartera visor tablero manual y pruebas,Cada producto tiene formato propósito y prueba observable,,,Pendiente,
Transferencia,"¿Cómo se actualizará respaldará y custodiará?",Código archivos editables documentación capacitación respaldo y salida,La entidad puede operar y recuperar los activos,,,Pendiente,
