bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Decisión,"¿Qué acción reunión o proceso utilizará el análisis?",Usuario pregunta frecuencia acción plazo y responsable,La decisión y su uso pueden describirse,,,Pendiente,
Universo,"¿Qué entidades categorías procedimientos o contratos están incluidos?",Entidad unidad categoría modalidad territorio periodo inclusión exclusión y corte,El universo y el corte son reproducibles,,,Pendiente,
Competencias,"¿Qué corresponde a cada unidad y responsable?",Unidad usuaria abastecimiento área técnica dirección validadores roles y límites,Las competencias están validadas,,,Pendiente,
Necesidad pública,"¿Qué problema usuario y resultado justifican la compra?",Problema finalidad usuario población cantidad territorio estándar y fecha requerida,La compra se conecta con una necesidad verificable,,,Pendiente,
Programación,"¿Qué demanda es recurrente estacional agregable o crítica?",Categoría calendario historial dependencia recurrencia consolidación y oportunidad,La demanda puede priorizarse y programarse,,,Pendiente,
Requerimiento,"¿Qué condición estructura la competencia y la ejecución?",Especificación experiencia plazo entregable condición criterio de aceptación y barrera,El requerimiento puede compararse y revisarse,,,Pendiente,
Identificadores,"¿Cómo se relacionan los registros de la compra?",Plan convocatoria procedimiento contrato orden RUC códigos llaves correspondencias y excepciones,Los registros pueden vincularse y auditarse,,,Pendiente,
Procedimiento,"¿Qué etapas eventos y estados se analizarán?",Convocatoria consultas integración ofertas evaluación adjudicación consentimiento y estado,Cada etapa tiene fecha fuente y definición,,,Pendiente,
Participación,"¿Quién se registra consulta oferta gana o se retira?",Participantes postores ofertas adjudicatarios retiros exclusiones y denominadores,El embudo diferencia cada etapa,,,Pendiente,
Competencia,"¿Qué concurrencia existe y cómo se compara?",Número de ofertas categoría modalidad territorio periodo referencia y contexto,La comparación usa universos compatibles,,,Pendiente,
Mercado proveedor,"¿Qué proveedores capacidades y especializaciones se observan?",RUC razón social categoría ámbito historial recurrencia consorcio tamaño y fuente,El perfil separa observación de calificación,,,Pendiente,
Precios y montos,"¿Qué valores son realmente comparables?",Precio monto unidad especificación calidad fecha lugar impuesto condición índice y moneda,Las diferencias conservan unidad y contexto,,,Pendiente,
Plazos,"¿Dónde se concentran esperas o reprogramaciones?",Fecha inicial final duración suspensión prórroga proceso sin resultado causa y evidencia,Los tiempos se calculan con reglas explícitas,,,Pendiente,
Contrato,"¿Qué obligaciones hitos y modificaciones requieren seguimiento?",Contrato monto plazo entregable garantía modificación penalidad registrada controversia y estado,La ejecución contractual está conectada,,,Pendiente,
Ejecución y pago,"¿Qué fue entregado aceptado y pagado y cuándo?",Entrega evidencia conformidad observación subsanación factura pago fecha monto y responsable,Los hitos tienen prueba y responsable,,,Pendiente,
Riesgos y señales,"¿Qué patrón activa una revisión proporcional?",Señal regla umbral contexto expediente responsable acción y cierre,Ninguna alerta produce acusaciones automáticas,,,Pendiente,
Calidad de datos,"¿Qué registros faltan discrepan o cambiaron?",Regla validación fuente prevalente faltante duplicado cambio definición linaje y corrección,La calidad y las excepciones son visibles,,,Pendiente,
Seguridad y ética,"¿Qué información es pública interna restringida o personal?",Clasificación acceso minimización anonimización registro conservación publicación y eliminación,El tratamiento está autorizado y documentado,,,Pendiente,
Productos y conformidad,"¿Qué recibe cada usuario y cómo se prueba?",Base diccionario fichas mapa informe tablero alertas pruebas formatos y accesibilidad,Cada producto tiene propósito y prueba observable,,,Pendiente,
Transferencia y operación,"¿Cómo se actualizará protegerá y mantendrá la solución?",Código archivos editables documentación accesos respaldo auditoría capacitación licencias mantenimiento y salida,El cliente puede operar proteger y recuperar los activos,,,Pendiente,
