bloque,pregunta_guia,contenido_a_definir,criterio_de_aceptacion,responsable,fuente_o_anexo,estado,observaciones
Necesidad,"¿Qué problema origina el servicio y qué decisión está detenida?",,,,,Pendiente,
Antecedentes,"¿Qué evidencia, trabajos o sistemas ya existen?",,,,,Pendiente,
Objetivo general,"¿Qué resultado verificable debe producir el servicio?",,,,,Pendiente,
Objetivos específicos,"¿Qué resultados parciales permiten alcanzar el objetivo general?",,,,,Pendiente,
Alcance,"¿Qué territorio, población, periodo y unidades cubre?",,,,,Pendiente,
Exclusiones,"¿Qué no forma parte del servicio?",,,,,Pendiente,
Preguntas de análisis,"¿Qué debe poder responder el estudio para cada usuario?",,,,,Pendiente,
Fuentes y acceso,"¿Qué bases, documentos o trabajo de campo se requieren y quién autoriza?",,,,,Pendiente,
Método,"¿Qué estándar mínimo de trazabilidad, calidad y análisis debe cumplirse?",,,,,Pendiente,
Productos,"¿Qué recibe la entidad, en qué formato y para qué uso?",,,,,Pendiente,
Criterios de aceptación,"¿Qué evidencia verificará que cada producto está completo?",,,,,Pendiente,
Cronograma e hitos,"¿Qué dependencias, revisiones y fechas ordenan el trabajo?",,,,,Pendiente,
Equipo y roles,"¿Qué capacidades, contrapartes y responsabilidades son necesarias?",,,,,Pendiente,
Seguridad y privacidad,"¿Qué datos son sensibles y qué controles de acceso, transferencia y eliminación aplican?",,,,,Pendiente,
Reproducibilidad,"¿Qué archivos, código, diccionario o documentación permitirán revisar y actualizar el análisis?",,,,,Pendiente,
Transferencia y cierre,"¿Qué capacitación, repositorio, respaldo y acta de cierre se requieren?",,,,,Pendiente,
